,day_of_winter,depth_cm
0,1,0.0
1,2,0.0
2,3,0.0
3,4,0.0
4,5,0.0
5,6,0.0
6,7,0.0
7,8,0.0
8,9,0.0
9,10,0.0
10,11,9.0
11,12,0.0
12,13,0.0
13,14,6.0
14,15,10.0
15,16,11.5
16,17,11.5
17,18,32.0
18,19,34.0
19,20,34.0
20,21,36.333333333333336
21,22,40.333333333333336
22,23,38.0
23,24,43.0
24,25,52.75
25,26,58.25
26,27,27.5
27,28,59.0
28,29,62.0
29,30,59.5
30,31,52.8
31,32,51.166666666666664
32,33,49.5
33,34,53.166666666666664
34,35,45.142857142857146
35,36,51.857142857142854
36,37,53.857142857142854
37,38,55.57142857142857
38,39,54.285714285714285
39,40,58.0
40,41,47.888888888888886
41,42,53.857142857142854
42,43,50.875
43,44,46.44444444444444
44,45,50.0
45,46,51.0
46,47,57.375
47,48,60.625
48,49,58.125
49,50,64.57142857142857
50,51,61.714285714285715
51,52,73.0
52,53,64.42857142857143
53,54,61.714285714285715
54,55,58.57142857142857
55,56,56.0
56,57,63.666666666666664
57,58,59.833333333333336
58,59,56.5
59,60,63.333333333333336
60,61,60.0
61,62,65.28571428571429
62,63,70.28571428571429
63,64,70.85714285714286
64,65,67.57142857142857
65,66,70.85714285714286
66,67,71.42857142857143
67,68,75.14285714285714
68,69,77.0
69,70,83.71428571428571
70,71,86.71428571428571
71,72,86.28571428571429
72,73,87.71428571428571
73,74,93.0
74,75,101.66666666666667
75,76,91.71428571428571
76,77,89.5
77,78,102.83333333333333
78,79,96.14285714285714
79,80,96.57142857142857
80,81,103.375
81,82,105.625
82,83,103.0
83,84,105.375
84,85,103.33333333333333
85,86,102.83333333333333
86,87,104.57142857142857
87,88,105.42857142857143
88,89,106.85714285714286
89,90,113.85714285714286
90,91,116.71428571428571
91,92,119.57142857142857
92,93,116.42857142857143
93,94,118.33333333333333
94,95,115.0
95,96,115.28571428571429
96,97,116.0
97,98,116.14285714285714
98,99,118.0
99,100,119.71428571428571
100,101,119.42857142857143
101,102,121.14285714285714
102,103,120.71428571428571
103,104,118.85714285714286
104,105,123.28571428571429
105,106,124.42857142857143
106,107,124.42857142857143
107,108,124.28571428571429
108,109,125.14285714285714
109,110,127.42857142857143
110,111,140.625
111,112,131.0
112,113,129.42857142857142
113,114,129.14285714285714
114,115,136.71428571428572
115,116,141.14285714285714
116,117,149.85714285714286
117,118,154.28571428571428
118,119,160.28571428571428
119,120,161.14285714285714
120,121,166.57142857142858
121,122,147.0
122,123,170.28571428571428
123,124,170.28571428571428
124,125,172.57142857142858
125,126,171.14285714285714
126,127,168.28571428571428
127,128,168.42857142857142
128,129,165.57142857142858
129,130,166.0
130,131,168.71428571428572
131,132,167.42857142857142
132,133,164.14285714285714
133,134,179.0
134,135,191.16666666666666
135,136,187.83333333333334
136,137,185.33333333333334
137,138,184.16666666666666
138,139,181.5
139,140,177.66666666666666
140,141,174.66666666666666
141,142,172.83333333333334
142,143,177.83333333333334
143,144,179.16666666666666
144,145,180.83333333333334
145,146,181.0
146,147,181.6
147,148,179.0
148,149,180.0
149,150,176.8
150,151,172.8
151,152,157.375
152,153,154.28571428571428
153,154,151.85714285714286
154,155,145.66666666666666
155,156,123.14285714285714
156,157,142.83333333333334
157,158,143.33333333333334
158,159,144.71428571428572
159,160,146.57142857142858
160,161,155.57142857142858
161,162,158.85714285714286
162,163,156.14285714285714
163,164,151.42857142857142
164,165,136.66666666666666
165,166,132.0
166,167,129.0
167,168,128.83333333333334
168,169,125.66666666666667
169,170,124.83333333333333
170,171,123.33333333333333
171,172,119.33333333333333
172,173,114.16666666666667
173,174,111.66666666666667
174,175,110.83333333333333
175,176,107.33333333333333
176,177,107.57142857142857
177,178,97.66666666666667
178,179,123.0
179,180,118.2
180,181,98.33333333333333
181,182,119.75
182,183,109.25
183,184,99.0
184,185,96.8
185,186,91.4
186,187,82.5
187,188,80.8
188,189,76.6
189,190,72.2
190,191,59.285714285714285
191,192,63.5
192,193,60.6
193,194,56.4
194,195,50.8
195,196,38.666666666666664
196,197,39.4
197,198,27.6
198,199,25.2
199,200,28.5
200,201,17.6
201,202,15.0
202,203,14.0
203,204,13.5
204,205,14.333333333333334
205,206,18.0
206,207,7.333333333333333
207,208,3.3333333333333335
208,209,0.0
209,210,0.0
210,211,0.0
211,212,0.0
